Name,Description,Type,Allocation,Category,Low Density Capacity,Mid Density Capcity,High Density Capacity,Long,Lat,Coordinates
714,714,YW,All,All,50,50,50,-118.2529788,33.7266167,"-118.2529788,33.7266167,0
              -118.2529506,33.7265464,0
              -118.251399,33.7269981,0
              -118.2514285,33.7270717,0
              -118.2529788,33.7266167,0"
715,715,YW,All,All,50,50,50,-118.2529242,33.726481,"-118.2529242,33.726481,0
              -118.2528907,33.7264007,0
              -118.2513417,33.7268513,0
              -118.2513766,33.7269349,0
              -118.2529242,33.726481,0"
716,716,YW,All,All,50,50,50,-118.2528075,33.7262161,"-118.2528075,33.7262161,0
              -118.252774,33.7261358,0
              -118.2512251,33.7265864,0
              -118.25126,33.72667,0
              -118.2528075,33.7262161,0"
717,717,YW,All,All,50,50,50,-118.2527492,33.7260622,"-118.2527492,33.7260622,0
              -118.2527157,33.7259819,0
              -118.2511667,33.7264325,0
              -118.2512016,33.7265161,0
              -118.2527492,33.7260622,0"
718,718,YW,All,All,50,50,50,-118.2526338,33.725794,"-118.2526338,33.725794,0
              -118.2526003,33.7257137,0
              -118.2510514,33.7261643,0
              -118.2510863,33.7262479,0
              -118.2526338,33.725794,0"
814,814,YW,All,All,50,50,50,-118.2547987,33.7260868,"-118.2547987,33.7260868,0
              -118.2547705,33.7260165,0
              -118.2532189,33.7264682,0
              -118.2532484,33.7265418,0
              -118.2547987,33.7260868,0"
815,815,YW,All,All,50,50,50,-118.2547427,33.7259529,"-118.2547427,33.7259529,0
              -118.2547092,33.7258726,0
              -118.2531603,33.7263232,0
              -118.2531952,33.7264068,0
              -118.2547427,33.7259529,0"
816,816,YW,All,All,50,50,50,-118.2546293,33.7256852,"-118.2546293,33.7256852,0
              -118.2545958,33.7256049,0
              -118.2530469,33.7260555,0
              -118.2530818,33.7261391,0
              -118.2546293,33.7256852,0"
817,817,YW,All,All,50,50,50,-118.2545683,33.7255324,"-118.2545683,33.7255324,0
              -118.2545348,33.7254521,0
              -118.2529859,33.7259027,0
              -118.2530208,33.7259863,0
              -118.2545683,33.7255324,0"
818,818,YW,All,All,50,50,50,-118.2544544,33.725263,"-118.2544544,33.725263,0
              -118.2544209,33.7251827,0
              -118.2528719,33.7256333,0
              -118.2529068,33.7257169,0
              -118.2544544,33.725263,0"
914,914,YW,All,All,50,50,50,-118.2565729,33.7255715,"-118.2565729,33.7255715,0
              -118.2565447,33.7255012,0
              -118.2549932,33.7259529,0
              -118.2550227,33.7260265,0
              -118.2565729,33.7255715,0"
915,915,YW,All,All,50,50,50,-118.2565203,33.7254331,"-118.2565203,33.7254331,0
              -118.2564868,33.7253528,0
              -118.2549379,33.7258034,0
              -118.2549728,33.725887,0
              -118.2565203,33.7254331,0"
916,916,YW,All,All,50,50,50,-118.2564103,33.7251783,"-118.2564103,33.7251783,0
              -118.2563768,33.725098,0
              -118.2548279,33.7255486,0
              -118.2548628,33.7256322,0
              -118.2564103,33.7251783,0"
917,917,YW,All,All,50,50,50,-118.2563453,33.7250132,"-118.2563453,33.7250132,0
              -118.2563118,33.7249329,0
              -118.2547629,33.7253835,0
              -118.2547978,33.7254671,0
              -118.2563453,33.7250132,0"
918,918,YW,All,All,50,50,50,-118.2562307,33.7247455,"-118.2562307,33.7247455,0
              -118.2561972,33.7246652,0
              -118.2546482,33.7251158,0
              -118.2546831,33.7251994,0
              -118.2562307,33.7247455,0"
A01,A01,YG,MTY,Storage,638,850,1063,-118.2450956,33.7318485,"-118.2450956,33.7318485,0
              -118.2450205,33.7316662,0
              -118.2420293,33.7325377,0
              -118.2421084,33.7327346,0
              -118.2450956,33.7318485,0"
A03,A03,YG,MTY,Storage,349,466,582,-118.2469036,33.7313335,"-118.2469036,33.7313335,0
              -118.2468426,33.7311874,0
              -118.2453184,33.7316313,0
              -118.2453801,33.7317785,0
              -118.2469036,33.7313335,0"
A04 ,A04,YG,MTY,Storage,349,466,582,-118.2486846,33.7308115,"-118.2486846,33.7308115,0
              -118.2486236,33.7306654,0
              -118.2470994,33.7311093,0
              -118.2471611,33.7312565,0
              -118.2486846,33.7308115,0"
A06,A06,YG,MTY,Storage,349,466,582,-118.2523002,33.7297765,"-118.2523002,33.7297765,0
              -118.2522392,33.7296304,0
              -118.250715,33.7300743,0
              -118.2507767,33.7302215,0
              -118.2523002,33.7297765,0"
A07,A07,YG,MTY,Storage,744,992,1240,-118.2558861,33.7287278,"-118.2558861,33.7287278,0
              -118.255811,33.7285454,0
              -118.2524592,33.7295107,0
              -118.2525383,33.7296919,0
              -118.2558861,33.7287278,0"
A09,A09,YG,MTY,Storage,288,385,481,-118.2574619,33.7280887,"-118.2574619,33.7280887,0
              -118.2560712,33.728493,0
              -118.256147,33.7286692,0
              -118.2562113,33.7286525,0
              -118.2562388,33.728715,0
              -118.2574331,33.7283681,0
              -118.2574036,33.7282984,0
              -118.2575377,33.7282599,0
              -118.2574619,33.7280887,0"
AD Park,Parking,Non Ops,None,N/A,N/A,N/A,N/A,-118.2530249,33.7224365,"-118.2530249,33.7224365,0
              -118.252768,33.7218286,0
              -118.2531053,33.7217181,0
              -118.2530571,33.7216038,0
              -118.2521324,33.7218776,0
              -118.252064,33.7217159,0
              -118.250853,33.722065,0
              -118.2508154,33.7219758,0
              -118.2506397,33.7220249,0
              -118.2508409,33.7223405,0
              -118.2508972,33.7224209,0
              -118.2509911,33.7224789,0
              -118.2510608,33.7225369,0
              -118.2512405,33.7226529,0
              -118.2512727,33.7226283,0
              -118.2513237,33.7226038,0
              -118.2513854,33.7225837,0
              -118.2515517,33.7225391,0
              -118.2515758,33.7225837,0
              -118.2514202,33.7226239,0
              -118.2513156,33.722664,0
              -118.2512781,33.7226863,0
              -118.2512405,33.7227265,0
              -118.2513344,33.7227733,0
              -118.2513612,33.7227488,0
              -118.251431,33.7227153,0
              -118.2514873,33.722693,0
              -118.2515409,33.7226796,0
              -118.2515678,33.7226863,0
              -118.2515651,33.7227109,0
              -118.2515463,33.7227577,0
              -118.2515302,33.7227823,0
              -118.2514846,33.7228291,0
              -118.2519406,33.7229786,0
              -118.2519647,33.7229273,0
              -118.2519915,33.7228693,0
              -118.2520264,33.7227979,0
              -118.2520613,33.7227577,0
              -118.2521042,33.7227109,0
              -118.2521471,33.7226796,0
              -118.2522195,33.7226529,0
              -118.2530249,33.7224365,0"
Admin,Admin,Building,None,N/A,N/A,N/A,N/A,-118.2534111,33.7223348,"-118.2534111,33.7223348,0
              -118.2531818,33.7217849,0
              -118.2528586,33.7218786,0
              -118.2530597,33.7223705,0
              -118.2531657,33.7223404,0
              -118.2531952,33.7223951,0
              -118.2534111,33.7223348,0"
B01,B01,YG,FCL,Export,466,621,776,-118.2449695,33.7315563,"-118.2449695,33.7315563,0
              -118.2448944,33.731374,0
              -118.2419032,33.7322455,0
              -118.2419824,33.7324424,0
              -118.2449695,33.7315563,0"
B03,B03,YG,FCL,Export,238,317,397,-118.2467843,33.7310323,"-118.2467843,33.7310323,0
              -118.2467232,33.7308862,0
              -118.245199,33.7313301,0
              -118.2452607,33.7314774,0
              -118.2467843,33.7310323,0"
B04,B04,YG,FCL,Export,238,317,397,-118.2485076,33.7305104,"-118.2485076,33.7305104,0
              -118.2484466,33.7303642,0
              -118.2469224,33.7308082,0
              -118.2469841,33.7309554,0
              -118.2485076,33.7305104,0"
B05,B05,YG,FCL,Export,238,317,397,-118.2503637,33.7299772,"-118.2503637,33.7299772,0
              -118.2503027,33.7298311,0
              -118.2487785,33.730275,0
              -118.2488402,33.7304223,0
              -118.2503637,33.7299772,0"
B06,B06,YG,FCL,Export,238,317,397,-118.2521608,33.7295088,"-118.2521608,33.7295088,0
              -118.2520997,33.7293627,0
              -118.2505756,33.7298066,0
              -118.2506373,33.7299538,0
              -118.2521608,33.7295088,0"
B07,B07,YG,FCL,Export,518,690,863,-118.2557668,33.7284311,"-118.2557668,33.7284311,0
              -118.2556917,33.7282488,0
              -118.2523465,33.7292207,0
              -118.2524216,33.7294019,0
              -118.2557668,33.7284311,0"
B09,B09,YG,FCL,Export,217,290,362,-118.2575359,33.727896,"-118.2575359,33.727896,0
              -118.2574749,33.7277499,0
              -118.2559508,33.7281938,0
              -118.2560125,33.728341,0
              -118.2575359,33.727896,0"
C01,C01,YG,MTY,Storage,621,828,1035,-118.2448488,33.7312719,"-118.2448488,33.7312719,0
              -118.2447737,33.7310896,0
              -118.2417826,33.7319611,0
              -118.2418617,33.732158,0
              -118.2448488,33.7312719,0"
C03,C03,YG,MTY,Storage,317,423,529,-118.2466622,33.7307424,"-118.2466622,33.7307424,0
              -118.2466012,33.7305962,0
              -118.245077,33.7310402,0
              -118.2451387,33.7311874,0
              -118.2466622,33.7307424,0"
C04,C04,YG,MTY,Storage,317,423,529,-118.2484271,33.7302248,"-118.2484271,33.7302248,0
              -118.2483661,33.7300787,0
              -118.2468419,33.7305226,0
              -118.2469036,33.7306699,0
              -118.2484271,33.7302248,0"
C05,C05,YG,MTY,Storage,317,423,529,-118.2502242,33.7297006,"-118.2502242,33.7297006,0
              -118.2501632,33.7295545,0
              -118.248639,33.7299984,0
              -118.2487007,33.7301456,0
              -118.2502242,33.7297006,0"
C06,C06,YG,MTY,Storage,317,423,529,-118.2520213,33.7291786,"-118.2520213,33.7291786,0
              -118.2519603,33.7290325,0
              -118.2504361,33.7294764,0
              -118.2504978,33.7296237,0
              -118.2520213,33.7291786,0"
C07,C07,YG,MTY,Storage,690,920,1150,-118.255646,33.7281333,"-118.255646,33.7281333,0
              -118.2555709,33.727951,0
              -118.2522231,33.7289318,0
              -118.2522924,33.7291063,0
              -118.255646,33.7281333,0"
C09,C09,YG,MTY,Storage,235,313,391,-118.2574126,33.7276172,"-118.2574126,33.7276172,0
              -118.2573515,33.727471,0
              -118.2558274,33.727915,0
              -118.2558891,33.7280622,0
              -118.2574126,33.7276172,0"
Chassis Pit,Chassis,Ops,None,N/A,N/A,N/A,N/A,-118.2525629,33.7248934,"-118.2525629,33.7248934,0
              -118.2558922,33.7239245,0
              -118.2553055,33.7225653,0
              -118.2552478,33.7225899,0
              -118.2551117,33.7226317,0
              -118.2549937,33.7226657,0
              -118.2547396,33.7227399,0
              -118.2546819,33.7227533,0
              -118.2545491,33.7227789,0
              -118.2544821,33.7227895,0
              -118.254354,33.7227907,0
              -118.2541528,33.7227884,0
              -118.2521854,33.7233556,0
              -118.2520767,33.7237277,0
              -118.2525629,33.7248934,0"
Chassis Repair,Chassis,M&R,None,N/A,N/A,N/A,N/A,-118.2523619,33.7202366,"-118.2523619,33.7202366,0
              -118.2517786,33.7188361,0
              -118.2514976,33.7189182,0
              -118.2512237,33.7182722,0
              -118.2494876,33.718777,0
              -118.2498269,33.7195887,0
              -118.2498578,33.7196551,0
              -118.2498792,33.7196874,0
              -118.2499087,33.7197175,0
              -118.2499369,33.7197398,0
              -118.2499664,33.7197599,0
              -118.2500066,33.7197822,0
              -118.2500428,33.7197978,0
              -118.2505008,33.7199841,0
              -118.2506437,33.7200405,0
              -118.2506799,33.7200572,0
              -118.2507094,33.7200722,0
              -118.2507362,33.720089,0
              -118.2507617,33.7201063,0
              -118.2507847,33.7201228,0
              -118.2508249,33.7201641,0
              -118.2508491,33.7201875,0
              -118.2508705,33.7202187,0
              -118.2508907,33.7202511,0
              -118.2509094,33.7202946,0
              -118.2510422,33.7206181,0
              -118.2523619,33.7202366,0"
D01,D01,YG,FCL,Export,466,621,776,-118.2447268,33.7309775,"-118.2447268,33.7309775,0
              -118.2446517,33.7307951,0
              -118.2416605,33.7316667,0
              -118.2417396,33.7318635,0
              -118.2447268,33.7309775,0"
D03,D03,YG,FCL,Export,238,317,397,-118.2465442,33.7304479,"-118.2465442,33.7304479,0
              -118.2464832,33.7303018,0
              -118.244959,33.7307457,0
              -118.2450207,33.7308929,0
              -118.2465442,33.7304479,0"
D04,D04,YG,FCL,Export,238,317,397,-118.2483413,33.7299304,"-118.2483413,33.7299304,0
              -118.2482803,33.7297843,0
              -118.2467561,33.7302282,0
              -118.2468178,33.7303754,0
              -118.2483413,33.7299304,0"
D05,D05,YG,MTY,Storage,317,423,529,-118.2501169,33.7293883,"-118.2501169,33.7293883,0
              -118.2500559,33.7292422,0
              -118.2485317,33.7296861,0
              -118.2485934,33.7298334,0
              -118.2501169,33.7293883,0"
D06,D06,YG,FCL,Export,238,317,397,-118.2518952,33.7288708,"-118.2518952,33.7288708,0
              -118.2518342,33.7287247,0
              -118.25031,33.7291686,0
              -118.2503717,33.7293158,0
              -118.2518952,33.7288708,0"
D07,D07,YG,FCL,Export,507,676,845,-118.2555213,33.72785,"-118.2555213,33.72785,0
              -118.2554462,33.7276677,0
              -118.2521024,33.7286396,0
              -118.2521762,33.728813,0
              -118.2555213,33.72785,0"
D09,D09,YG,FCL,Export,217,290,362,-118.2573026,33.7273226,"-118.2573026,33.7273226,0
              -118.2572415,33.7271765,0
              -118.2557174,33.7276204,0
              -118.2557791,33.7277677,0
              -118.2573026,33.7273226,0"
E01,E01,YG,MTY,Storage,593,791,989,-118.2445994,33.7306596,"-118.2445994,33.7306596,0
              -118.2445243,33.7304772,0
              -118.2415331,33.7313488,0
              -118.2416122,33.7315456,0
              -118.2445994,33.7306596,0"
E03,E03,YG,MTY,Storage,235,313,391,-118.2463491,33.7299895,"-118.2463491,33.7299895,0
              -118.2448249,33.7304334,0
              -118.2448866,33.7305806,0
              -118.2464101,33.7301356,0
              -118.2463491,33.7299895,0"
E04,E04,YG,MTY,Storage,317,423,529,-118.2482125,33.7296047,"-118.2482125,33.7296047,0
              -118.2481515,33.7294586,0
              -118.2466273,33.7299025,0
              -118.246689,33.7300497,0
              -118.2482125,33.7296047,0"
E05,E05,YG,MTY,Storage,238,317,397,-118.250015,33.7290671,"-118.250015,33.7290671,0
              -118.249954,33.728921,0
              -118.2484298,33.7293649,0
              -118.2484915,33.7295121,0
              -118.250015,33.7290671,0"
E06,E06,YG,MTY,Storage,317,423,529,-118.2517812,33.7285674,"-118.2517812,33.7285674,0
              -118.2517202,33.7284213,0
              -118.250196,33.7288652,0
              -118.2502577,33.7290124,0
              -118.2517812,33.7285674,0"
E07,E07,YG,MTY,Storage,690,920,1150,-118.2553933,33.7275221,"-118.2553933,33.7275221,0
              -118.2553182,33.7273397,0
              -118.251967,33.7283206,0
              -118.2520455,33.7284951,0
              -118.2553933,33.7275221,0"
E09,E09,YG,MTY,Storage,290,386,483,-118.2571604,33.7270037,"-118.2571604,33.7270037,0
              -118.2570994,33.7268576,0
              -118.2555752,33.7273015,0
              -118.2556369,33.7274487,0
              -118.2571604,33.7270037,0"
F01,F01,YG,Local,Import,342,455,569,-118.244476,33.7303651,"-118.244476,33.7303651,0
              -118.2444009,33.7301828,0
              -118.2414097,33.7310543,0
              -118.2414889,33.7312512,0
              -118.244476,33.7303651,0"
F03,F03,YG,Local,Import,179,238,298,-118.2462867,33.7298412,"-118.2462867,33.7298412,0
              -118.2462257,33.729695,0
              -118.2447015,33.730139,0
              -118.2447632,33.7302862,0
              -118.2462867,33.7298412,0"
F04,F04,YG,Local,Import,179,238,298,-118.2480462,33.7293326,"-118.2480462,33.7293326,0
              -118.2479852,33.7291864,0
              -118.2464611,33.7296304,0
              -118.2465227,33.7297776,0
              -118.2480462,33.7293326,0"
F05,F05,YG,Local,Import,179,238,298,-118.2498541,33.7287994,"-118.2498541,33.7287994,0
              -118.249793,33.7286533,0
              -118.2482689,33.7290972,0
              -118.2483306,33.7292444,0
              -118.2498541,33.7287994,0"
F06,F06,YG,Local,Import,179,238,298,-118.2516619,33.7282685,"-118.2516619,33.7282685,0
              -118.2516008,33.7281224,0
              -118.2500767,33.7285663,0
              -118.2501384,33.7287135,0
              -118.2516619,33.7282685,0"
F07,F07,YG,Local,Import,388,518,647,-118.2552692,33.7272254,"-118.2552692,33.7272254,0
              -118.2551941,33.727043,0
              -118.251845,33.7280272,0
              -118.2519174,33.7282035,0
              -118.2552692,33.7272254,0"
F09,F09,YG,Local,Import,179,238,298,-118.257037,33.7267092,"-118.257037,33.7267092,0
              -118.256976,33.7265631,0
              -118.2554518,33.727007,0
              -118.2555135,33.7271542,0
              -118.257037,33.7267092,0"
Flip ,Flip Line,Ops,None,N/A,N/A,N/A,N/A,-118.2548862,33.7215263,"-118.2548862,33.7215263,0
              -118.2546616,33.7209948,0
              -118.2532467,33.7214008,0
              -118.253464,33.7219139,0
              -118.2548862,33.7215263,0"
Foreman Parking,Parking,Non Ops,None,N/A,N/A,N/A,N/A,-118.2409972,33.7317557,"-118.2409972,33.7317557,0
              -118.2410129,33.7317388,0
              -118.2409016,33.7314773,0
              -118.2408476,33.731493,0
              -118.2408523,33.7315772,0
              -118.2405895,33.7320356,0
              -118.2407001,33.7320947,0
              -118.2409972,33.7317557,0"
G01,G01,YG,Local,Import,342,455,569,-118.244358,33.7300785,"-118.244358,33.7300785,0
              -118.2442829,33.7298961,0
              -118.2412917,33.7307677,0
              -118.2413709,33.7309646,0
              -118.244358,33.7300785,0"
G03,G03,YG,Local,Import,179,238,298,-118.2461446,33.7295512,"-118.2461446,33.7295512,0
              -118.2460835,33.7294051,0
              -118.2445594,33.729849,0
              -118.2446211,33.7299962,0
              -118.2461446,33.7295512,0"
G04,G04,YG,Local,Import,179,238,298,-118.2479336,33.7290247,"-118.2479336,33.7290247,0
              -118.2478726,33.7288786,0
              -118.2463484,33.7293225,0
              -118.2464101,33.7294697,0
              -118.2479336,33.7290247,0"
G05,G05,YG,Local,Import,179,238,298,-118.2496804,33.7283455,"-118.2496804,33.7283455,0
              -118.2481562,33.7287894,0
              -118.2482179,33.7289366,0
              -118.2497414,33.7284916,0
              -118.2496804,33.7283455,0"
G06,G06,YG,Local,Import,179,238,298,-118.2515599,33.7280008,"-118.2515599,33.7280008,0
              -118.2514989,33.7278547,0
              -118.2499748,33.7282986,0
              -118.2500365,33.7284458,0
              -118.2515599,33.7280008,0"
G07,G07,YG,Local,Import,388,518,647,-118.2551431,33.7269421,"-118.2551431,33.7269421,0
              -118.255068,33.7267597,0
              -118.2517216,33.7277361,0
              -118.2517967,33.7279129,0
              -118.2551431,33.7269421,0"
G09,G09,YG,Local,Import,179,238,298,-118.2569109,33.7264237,"-118.2569109,33.7264237,0
              -118.2568499,33.7262775,0
              -118.2553258,33.7267215,0
              -118.2553875,33.7268687,0
              -118.2569109,33.7264237,0"
Gear,Gear,Building,None,N/A,N/A,N/A,N/A,-118.2505559,33.7303538,"-118.2505559,33.7303538,0
              -118.2504453,33.7300956,0
              -118.2488936,33.7305473,0
              -118.2490237,33.7308395,0
              -118.2505727,33.7303912,0
              -118.2505559,33.7303538,0"
H01,H01,YG,Local,Import,342,455,569,-118.2412408,33.7306712,"-118.2412408,33.7306712,0
              -118.2442279,33.7297852,0
              -118.2441528,33.7296028,0
              -118.2411617,33.7304744,0
              -118.2412408,33.7306712,0"
